event_id,issue_code,severity,message
TN_tirune_1981:1991,duplicate_row,medium,Duplicate lineage row for TN_tirune_1981
TN_tirune_1981:2001,cycle_rejected,high,Parent and child are identical (TN_tirune_1981)
TN_tirune_1981:2001,duplicate_row,medium,Duplicate lineage row for TN_tirune_1981
TN_tiruva_1991:2011,cycle_rejected,high,Parent and child are identical (TN_tiruva_1991)
TN_tiruva_1991:2001,cycle_rejected,high,Parent and child are identical (TN_tiruva_1991)
TN_thooth_2001:2011,cycle_rejected,high,Parent and child are identical (TN_thooth_2001)
SK_eastdi_1981:2001,duplicate_row,medium,Duplicate lineage row for SK_east_2001
SK_sikkim_1971:1981,duplicate_row,medium,Duplicate lineage row for SK_eastdi_1981
SK_sikkim_1971:1981,duplicate_row,medium,Duplicate lineage row for SK_westdi_1981
SK_westdi_1981:2001,duplicate_row,medium,Duplicate lineage row for SK_west_2001
RJ_chitto_1951:1971,cycle_rejected,high,Parent and child are identical (RJ_chitto_1951)
RJ_chitto_1951:1971,duplicate_row,medium,Duplicate lineage row for RJ_chitto_1951
RJ_chitto_1951:1961,cycle_rejected,high,Parent and child are identical (RJ_chitto_1951)
RJ_chitto_1951:1961,duplicate_row,medium,Duplicate lineage row for RJ_chitto_1951
RJ_jalore_1951:1961,cycle_rejected,high,Parent and child are identical (RJ_jalore_1951)
RJ_jhunjh_1961:1971,cycle_rejected,high,Parent and child are identical (RJ_jhunjh_1961)
RJ_kotah_1951:1961,duplicate_row,medium,Duplicate lineage row for RJ_kota_1951
RJ_sawaim_1951:1961,cycle_rejected,high,Parent and child are identical (RJ_sawaim_1951)
RJ_sawaim_1951:1961,duplicate_row,medium,Duplicate lineage row for RJ_sawaim_1951
PB_bhatin_1951:1981,duplicate_row,medium,Duplicate lineage row for PB_faridk_1981
PB_bhatin_1951:1981,duplicate_row,medium,Duplicate lineage row for PB_faridk_1981
PB_bhatin_1951:1981,cycle_rejected,high,Parent and child are identical (PB_bhatin_1951)
PB_bhatin_1951:1981,duplicate_row,medium,Duplicate lineage row for PB_bhatin_1951
PB_firozp_1951:1971,cycle_rejected,high,Parent and child are identical (PB_firozp_1951)
PB_firozp_1951:1971,duplicate_row,medium,Duplicate lineage row for PB_firozp_1951
PB_firozp_1951:1971,duplicate_row,medium,Duplicate lineage row for PB_firozp_1951
PB_hoshia_1961:1971,duplicate_row,medium,Duplicate lineage row for PB_ropar_1971
PB_jaland_1971:1981,cycle_rejected,high,Parent and child are identical (PB_jaland_1971)
PB_jaland_1971:1981,duplicate_row,medium,Duplicate lineage row for PB_jaland_1971
PB_srimuk_2001:2024,cycle_rejected,high,Parent and child are identical (PB_srimuk_2001)
PB_shahid_2001:2011,cycle_rejected,high,Parent and child are identical (PB_shahid_2001)
PB_shahid_2001:2011,duplicate_row,medium,Duplicate lineage row for PB_shahid_2001
PB_ropar_1971:1981,duplicate_row,medium,Duplicate lineage row for PB_rupnag_1981
PY_puduch_2001:2011,cycle_rejected,high,Parent and child are identical (PY_puduch_2001)
OD_balaso_1971:1981,duplicate_row,medium,Duplicate lineage row for OD_balesh_1981
OD_baudh_1951:1981,cycle_rejected,high,Parent and child are identical (OD_baudh_1951)
OD_baudh_1951:1981,duplicate_row,medium,Duplicate lineage row for OD_baudh_1951
OD_bolang_1971:1981,duplicate_row,medium,Duplicate lineage row for OD_balang_1981
OD_baudh_1951:2001,cycle_rejected,high,Parent and child are identical (OD_baudh_1951)
OD_baudh_1951:1961,cycle_rejected,high,Parent and child are identical (OD_baudh_1951)
OD_baudh_1951:1961,duplicate_row,medium,Duplicate lineage row for OD_baudh_1951
NL_kohima_1951:2001,duplicate_row,medium,Duplicate lineage row for NL_dimapu_2001
NL_kohima_1951:2001,duplicate_row,medium,Duplicate lineage row for NL_dimapu_2001
NL_kohima_1951:1961,cycle_rejected,high,Parent and child are identical (NL_kohima_1951)
NL_kohima_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_kohima_1951
NL_kohima_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_kohima_1951
NL_kohima_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_kohima_1951
NL_kohima_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_kohima_1951
NL_kohima_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_kohima_1951
NL_kohima_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_kohima_1951
NL_tuensa_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_mokokc_1961
NL_tuensa_1951:1961,duplicate_row,medium,Duplicate lineage row for NL_mokokc_1961
MZ_aizawl_1981:2001,duplicate_row,medium,Duplicate lineage row for MZ_champh_2001
MZ_mizora_1951:1961,cycle_rejected,high,Parent and child are identical (MZ_mizora_1951)
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1961,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,cycle_rejected,high,Parent and child are identical (MZ_mizora_1951)
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
