event_id,child_cdk,child_name,metric_basis,weight_value,weight_method,weight_confidence,source_year,basis,is_fallback
TN_vilupp_2001:2024,TN_kallak_2024,Kallakurichi,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_northt_1971:2024,TR_unakot_2024,Unakoti,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_northt_1971:2024,TR_unakot_2024,Unakoti,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_southt_1971:2024,TR_gomati_2024,Gomati,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_southt_1971:2024,TR_gomati_2024,Gomati,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_westtr_1971:2024,TR_khowai_2024,Khowai,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_westtr_1971:2024,TR_khowai_2024,Khowai,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_westtr_1971:2024,TR_sipahi_2024,Sipahijala,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
TR_westtr_1971:2024,TR_sipahi_2024,Sipahijala,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_allaha_1951:2024,UP_prayag_2024,Prayagraj,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_allaha_1951:2024,UP_prayag_2024,Prayagraj,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_budaun_2011:2024,UP_sambha_2024,Sambhal (Bhimnagar),area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_budaun_2011:2024,UP_sambha_2024,Sambhal (Bhimnagar),production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_ghazia_1981:2024,UP_hapurp_2024,Hapur (Panchsheel Nagar),area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_ghazia_1981:2024,UP_hapurp_2024,Hapur (Panchsheel Nagar),production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_kanshi_2011:2024,UP_kasgan_2024,Kasganj,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_kanshi_2011:2024,UP_kasgan_2024,Kasganj,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_morada_1991:2024,UP_sambha_2024,Sambhal (Bhimnagar),area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_morada_1991:2024,UP_sambha_2024,Sambhal (Bhimnagar),production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_muzaff_2011:2024,UP_shamli_2024,Shamli (Prabuddhanagar),area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_muzaff_2011:2024,UP_shamli_2024,Shamli (Prabuddhanagar),production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_sultan_2011:2024,UP_amethi_2024,Amethi,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
UP_sultan_2011:2024,UP_amethi_2024,Amethi,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_barddh_1951:2024,WB_paschi_2011,Pashchim Barddhaman,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_barddh_1951:2024,WB_paschi_2011,Pashchim Barddhaman,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_barddh_1951:2024,WB_purbab_2024,Purba Barddhaman,area,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_barddh_1951:2024,WB_purbab_2024,Purba Barddhaman,production,0.5,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_darjil_1971:2024,WB_kalimp_2024,Kalimpong,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_darjil_1971:2024,WB_kalimp_2024,Kalimpong,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_jalpai_2011:2024,WB_alipur_2024,Alipurduar,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_jalpai_2011:2024,WB_alipur_2024,Alipurduar,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_paschi_2011:2024,WB_jhargr_2024,Jhargram,area,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
WB_paschi_2011:2024,WB_jhargr_2024,Jhargram,production,1.0,equal_split_fallback,0.35,2024,equal_split_fallback,True
