source_district,dest_district,source_year,dest_year,filter_state
24 - Parganas,Twenty Four Parganas,1961,1971,West Bengal
24 - Parganas,Twenty Four Parganas,1961,1971,West Bengal
Barddhaman,Pashchim Barddhaman,2011,2024,West Bengal
Barddhaman,Purba Barddhaman,2011,2024,West Bengal
Burdwan,Barddhaman,1971,1981,West Bengal
Burdwan,Barddhaman,1971,1981,West Bengal
Burdwan,Barddhaman,1971,1981,West Bengal
Calcutta,Kolkata,1991,2001,West Bengal
Cooch Behar,Koch Bihar,1971,1981,West Bengal
Darjeeling,Darjiling,1971,1981,West Bengal
Darjeeling,Darjiling,1971,1981,West Bengal
Darjiling,Kalimpong,2011,2024,West Bengal
Hooghly,Hugli,1971,1981,West Bengal
Howrah,Haora,1971,1981,West Bengal
Jalpaiguri,Alipurduar,2011,2024,West Bengal
Malda,Maldah,1971,1981,West Bengal
Medinipur,Paschim Medinipur,2001,2011,West Bengal
Medinipur,Purba Medinipur,2001,2011,West Bengal
Medinipur,Paschim Medinipur,2001,2011,West Bengal
Midnapore,Medinipur,1971,1981,West Bengal
Midnapore,Medinipur,1971,1981,West Bengal
Midnapore,Medinipur,1971,1981,West Bengal
Midnapur,Midnapore,1951,1961,West Bengal
Midnapur,Midnapore,1951,1961,West Bengal
Midnapur,Midnapore,1951,1961,West Bengal
Paschim Medinipur,Jhargram,2011,2024,West Bengal
Purulia,Puruliya,1971,1981,West Bengal
Twenty Four Parganas,North Twenty Four Parganas,1981,1991,West Bengal
Twenty Four Parganas,South Twenty Four Parganas,1981,1991,West Bengal
West Dinajpur,Uttar Dinajpur,1991,2001,West Bengal
West Dinajpur,Dakshin Dinajpur,1991,2001,West Bengal
Almora,Pithoragarh,1951,1961,Uttarakhand
Almora,Pithoragarh,1951,1961,Uttarakhand
Almora,Bageshwar,1991,2001,Uttarakhand
Chamoli,Rudraprayag,1991,2001,Uttarakhand
Dehra Dun,Dehradun,1991,2001,Uttarakhand
Garhwal,Chamoli,1951,1961,Uttarakhand
Garhwal,Chamoli,1951,1961,Uttarakhand
Naini Tal,Nainital,1971,1981,Uttarakhand
Naini Tal,Nainital,1971,1981,Uttarakhand
Nainital,Udham Singh Nagar,1991,2001,Uttarakhand
Pithoragarh,Champawat,1991,2001,Uttarakhand
Saharanpur,Hardwar,1981,1991,Uttarakhand
Tehri Garhwal,Uttar Kashi,1951,1961,Uttarakhand
Uttar Kashi,Uttarkashi,1971,1981,Uttarakhand
Uttar Kashi,Uttarkashi,1991,2001,Uttarakhand
Uttarkashi,Uttar Kashi,1981,1991,Uttarakhand
Agra,Firozabad,1981,1991,Uttar Pradesh
Aligarh,Hathras,1991,2001,Uttar Pradesh
Allahabad,Kaushambi,1991,2001,Uttar Pradesh
Allahabad,Prayagraj,2011,2024,Uttar Pradesh
Azamgarh,Mau,1981,1991,Uttar Pradesh
Bahraich,Shrawasti,1991,2001,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banares,Varanasi,1951,1961,Uttar Pradesh
Banda,Chitrakoot,1991,2001,Uttar Pradesh
Bara Banki,Barabanki,1991,2001,Uttar Pradesh
Barabanki,Bara Banki,2001,2011,Uttar Pradesh
Basti,Siddharthnagar,1981,1991,Uttar Pradesh
Basti,Sant Kabir Nagar,1991,2001,Uttar Pradesh
Budaun,Sambhal (Bhimnagar),2011,2024,Uttar Pradesh
Bulandshahr,Ghaziabad,1971,1981,Uttar Pradesh
Bulandshahr,Ghaziabad,1971,1981,Uttar Pradesh
Bulandshahr,Gautam Buddha Nagar,1991,2001,Uttar Pradesh
Deoria,Kushinagar,1991,2001,Uttar Pradesh
Etah,Kanshiram Nagar,2001,2011,Uttar Pradesh
Etawah,Auraiya,1991,2001,Uttar Pradesh
Etawah,Etawah',1991,2001,Uttar Pradesh
Etawah',Etawah,2001,2011,Uttar Pradesh
Faizabad,Ambedkar Nagar,1991,2001,Uttar Pradesh
Faizabad,Ayodhya,2011,2024,Uttar Pradesh
Farrukhabad,Kannauj,1991,2001,Uttar Pradesh
Ghaziabad,Gautam Buddha Nagar,1991,2001,Uttar Pradesh
Ghaziabad,Hapur (Panchsheel Nagar),2011,2024,Uttar Pradesh
Gonda,Balrampur,1991,2001,Uttar Pradesh
Gorakhpur,Maharajganj,1981,1991,Uttar Pradesh
Hamirpur,Mahoba,1991,2001,Uttar Pradesh
Hathras,Mahamaya Nagar,2001,2011,Uttar Pradesh
Jhansi,Lalitpur,1971,1981,Uttar Pradesh
Jyotiba Phule Nagar,Amroha,2011,2024,Uttar Pradesh
Kanpur,Kanpur Dehat,1981,1991,Uttar Pradesh
Kanpur,Kanpur Nagar,1981,1991,Uttar Pradesh
Kanshiram Nagar,Kasganj,2011,2024,Uttar Pradesh
Mahamaya Nagar,Hathras,2011,2024,Uttar Pradesh
Maharajganj,Mahrajganj,2001,2011,Uttar Pradesh
Mainpuri,Firozabad,1981,1991,Uttar Pradesh
Meerut,Ghaziabad,1971,1981,Uttar Pradesh
Meerut,Ghaziabad,1971,1981,Uttar Pradesh
Meerut,Baghpat,1991,2001,Uttar Pradesh
Mirzapur,Sonbhadra,1981,1991,Uttar Pradesh
Moradabad,Jyotiba Phule Nagar,1991,2001,Uttar Pradesh
Moradabad,Sambhal (Bhimnagar),2011,2024,Uttar Pradesh
Muzaffarnagar,Shamli (Prabuddhanagar),2011,2024,Uttar Pradesh
Sant Ravidas Nagar,Sant Ravidas Nagar (Bhadohi),2001,2011,Uttar Pradesh
Sant Ravidas Nagar (Bhadohi),Bhadohi,2011,2024,Uttar Pradesh
Sultanpur,Amethi,2011,2024,Uttar Pradesh
Varanasi,Chandauli,1991,2001,Uttar Pradesh
Varanasi,Sant Ravidas Nagar,1991,2001,Uttar Pradesh
North Tripura,Dhalai,1991,2001,Tripura
North Tripura,Unakoti,2011,2024,Tripura
South Tripura,Gomati,2011,2024,Tripura
Tripura,West Tripura,1961,1971,Tripura
Tripura,South Tripura,1961,1971,Tripura
Tripura,North Tripura,1961,1971,Tripura
Tripura,North Tripura,1961,1971,Tripura
Tripura,South Tripura,1961,1971,Tripura
Tripura,West Tripura,1961,1971,Tripura
Tripura,West Tripura,1961,1971,Tripura
Tripura,North Tripura,1961,1971,Tripura
West Tripura,Khowai,2011,2024,Tripura
West Tripura,Sipahijala,2011,2024,Tripura
Adilabad,Kumuram Bheem,2011,2024,Telangana
Adilabad,Mancherial,2011,2024,Telangana
Adilabad,Nirmal,2011,2024,Telangana
Hyderabad,Rangareddi,1971,1981,Telangana
Hyderabad,Rangareddi,1971,1981,Telangana
Hyderabad,Rangareddi,1971,1981,Telangana
Karimnagar,Jagtial,2011,2024,Telangana
Karimnagar,Peddapalli,2011,2024,Telangana
Karimnagar,Rajanna Sircilla,2011,2024,Telangana
Karimnagar,Jayashankar Bhupalpally,2011,2024,Telangana
Karimnagar,Siddipet,2011,2024,Telangana
Khammam,Mulugu,2011,2024,Telangana
Khammam,Bhadradri Kothagudem,2011,2024,Telangana
Khammam,Mahabubabad,2011,2024,Telangana
Mahbubnagar,Jogulamba Gadwal,2011,2024,Telangana
Mahbubnagar,Nagarkurnool,2011,2024,Telangana
Mahbubnagar,Wanaparthy,2011,2024,Telangana
Mahbubnagar,Narayanpet,2011,2024,Telangana
Medak,Sangareddy,2011,2024,Telangana
Medak,Siddipet,2011,2024,Telangana
Nalgonda,Suryapet,2011,2024,Telangana
Nalgonda,Yadadri Bhuvanagiri,2011,2024,Telangana
Nalgonda,Jangaon,2011,2024,Telangana
Nizamabad,Kamareddy,2011,2024,Telangana
Rangareddi,Rangareddy,2001,2011,Telangana
Rangareddi,Rangareddy,2001,2011,Telangana
Rangareddi,Rangareddy,2001,2011,Telangana
Rangareddy,Medchal–Malkajgiri,2011,2024,Telangana
Rangareddy,Vikarabad,2011,2024,Telangana
Warangal,Khammam,1951,1961,Telangana
Warangal,Khammam,1951,1961,Telangana
Warangal,Khammam,1951,1961,Telangana
Warangal,Khammam,1951,1961,Telangana
Warangal,Warangal Rural,2011,2024,Telangana
Warangal,Warangal Urban (Hanamkonda),2011,2024,Telangana
Warangal,Jayashankar Bhupalpally,2011,2024,Telangana
Warangal,Mahabubabad,2011,2024,Telangana
Warangal,Jangaon,2011,2024,Telangana
Warangal,Mulugu,2011,2024,Telangana
Chengalpattu,Chengalpattu MGR,1981,1991,Tamil Nadu
Chengalpattu,Chengalpattu MGR,1981,1991,Tamil Nadu
Chengalpattu,Chengalpattu MGR,1981,1991,Tamil Nadu
Chengalpattu MGR,Thiruvallur,1991,2001,Tamil Nadu
Chengalpattu MGR,Kancheepuram,1991,2001,Tamil Nadu
Chengalpattu MGR,Kancheepuram,1991,2001,Tamil Nadu
Chidambaranar,Toothukudi,1991,2001,Tamil Nadu
Chingleput,Chengalpattu,1961,1971,Tamil Nadu
Chingleput,Chengalpattu,1961,1971,Tamil Nadu
Chingleput,Chengalpattu,1961,1971,Tamil Nadu
Coimbatore,Periyar,1971,1981,Tamil Nadu
Coimbatore,Periyar,1971,1981,Tamil Nadu
Coimbatore,Tiruppur,2001,2011,Tamil Nadu
Dharmapuri,Krishnagiri,2001,2011,Tamil Nadu
Dindigul Anna,Dindigul,1991,2001,Tamil Nadu
Erode,Tiruppur,2001,2011,Tamil Nadu
Kamarajar,Virudhunagar,1991,2001,Tamil Nadu
Kancheepuram,Chengalpattu,2011,2024,Tamil Nadu
Kanyakumari,Kanniyakumari,1961,1971,Tamil Nadu
Madras,Chennai,1991,2001,Tamil Nadu
Madurai,Dindigul Anna,1981,1991,Tamil Nadu
Madurai,Theni,1991,2001,Tamil Nadu
Nagapattinam,Mayiladuthurai,2011,2024,Tamil Nadu
Nilgiri,Nilgiris,1961,1971,Tamil Nadu
Nilgiri,The Nilgiris,1991,2001,Tamil Nadu
Nilgiris,Nilgiri,1951,1961,Tamil Nadu
Nilgiris,Nilgiri,1971,1981,Tamil Nadu
North Arcot,North Arcot Ambedkar,1981,1991,Tamil Nadu
North Arcot,Tiruvannamalai Sambuvarayar,1981,1991,Tamil Nadu
North Arcot,North Arcot Ambedkar,1981,1991,Tamil Nadu
North Arcot,North Arcot Ambedkar,1981,1991,Tamil Nadu
North Arcot Ambedkar,Vellore,1991,2001,Tamil Nadu
North Arcot Ambedkar,Vellore,1991,2001,Tamil Nadu
North Arcot Ambedkar,Vellore,1991,2001,Tamil Nadu
Pasumpon Muthuramalinga Thevar,Sivaganga,1991,2001,Tamil Nadu
Perambalur,Ariyalur,2001,2011,Tamil Nadu
Periyar,Erode,1991,2001,Tamil Nadu
Periyar,Erode,1991,2001,Tamil Nadu
Ramanathapuram,Pasumpon Muthuramalinga Thevar,1981,1991,Tamil Nadu
Ramanathapuram,Kamarajar,1981,1991,Tamil Nadu
Salem,Dharmapuri,1961,1971,Tamil Nadu
Salem,Dharmapuri,1961,1971,Tamil Nadu
Salem,Namakkal,1991,2001,Tamil Nadu
South Arcot,Viluppuram,1991,2001,Tamil Nadu
South Arcot,Cuddalore,1991,2001,Tamil Nadu
South Arcot,Viluppuram,1991,2001,Tamil Nadu
Tanjore,Thanjavur,1951,1961,Tamil Nadu
Tanjore,Thanjavur,1951,1961,Tamil Nadu
Tanjore,Thanjavur,1951,1961,Tamil Nadu
Tanjore,Thanjavur,1951,1961,Tamil Nadu
Tanjore,Thanjavur,1951,1961,Tamil Nadu
Thanjavur,Pudukkottai,1971,1981,Tamil Nadu
Thanjavur,Nagapattinam,1991,2001,Tamil Nadu
Thanjavur,Thiruvarur,1991,2001,Tamil Nadu
Thanjavur,Nagapattinam,1991,2001,Tamil Nadu
Tiruchchirappalli,Karur,1991,2001,Tamil Nadu
Tiruchchirappalli,Perambalur,1991,2001,Tamil Nadu
Tiruchchirappalli,Perambalur,1991,2001,Tamil Nadu
Tiruchchirappalli,Tiruchirappalli,2001,2011,Tamil Nadu
Tiruchirapalli,Tiruchchirappalli,1971,1981,Tamil Nadu
Tiruchirapalli,Tiruchchirappalli,1971,1981,Tamil Nadu
Tiruchirapalli,Tiruchchirappalli,1971,1981,Tamil Nadu
Tiruchirapalli,Tiruchchirappalli,1971,1981,Tamil Nadu
Tiruchirapalli,Pudukkottai,1971,1981,Tamil Nadu
Tirunelveli,Chidambaranar,1981,1991,Tamil Nadu
Tirunelveli,Tirunelveli Kattabomman,1981,1991,Tamil Nadu
Tirunelveli,Tirunelveli Kattabomman,1981,1991,Tamil Nadu
Tirunelveli,Tenkasi,2011,2024,Tamil Nadu
Tirunelveli Kattabomman,Tirunelveli,1991,2001,Tamil Nadu
Tirunelveli Kattabomman,Tirunelveli,1991,2001,Tamil Nadu
Tiruvanamalai,Tiruvannamalai,2001,2011,Tamil Nadu
Tiruvannamalai Sambuvarayar,Tiruvanamalai,1991,2001,Tamil Nadu
Toothukudi,Thoothukkudi,2001,2011,Tamil Nadu
Trivandrum,Kanyakumari,1951,1961,Tamil Nadu
Vellore,Tirupattur,2011,2024,Tamil Nadu
Vellore,Ranipet,2011,2024,Tamil Nadu
Viluppuram,Kallakurichi,2011,2024,Tamil Nadu
East,Gangtok,2011,2024,Sikkim
East,Pakyong,2011,2024,Sikkim
East District,East,1991,2001,Sikkim
East District,East,1991,2001,Sikkim
North,Mangan,2011,2024,Sikkim
North District,North,1991,2001,Sikkim
Sikkim,East District,1971,1981,Sikkim
Sikkim,West District,1971,1981,Sikkim
Sikkim,South District,1971,1981,Sikkim
Sikkim,North District,1971,1981,Sikkim
Sikkim,East District,1971,1981,Sikkim
Sikkim,West District,1971,1981,Sikkim
South,Namchi,2011,2024,Sikkim
South District,South,1991,2001,Sikkim
West,Gyalshing,2011,2024,Sikkim
West,Soreng,2011,2024,Sikkim
West District,West,1991,2001,Sikkim
West District,West,1991,2001,Sikkim
Bharatpur,Dhaulpur,1981,1991,Rajasthan
Chitorgarh,Chittaurgarh,1961,1971,Rajasthan
Chitorgarh,Chittaurgarh,1961,1971,Rajasthan
Chittaurgarh,Pratapgarh,2001,2011,Rajasthan
Chittorgarh,Chitorgarh,1951,1961,Rajasthan
Chittorgarh,Chitorgarh,1951,1961,Rajasthan
Ganganagar,Hanumangarh,1991,2001,Rajasthan
Jaipur,Dausa,1991,2001,Rajasthan
Jalore,Jalor,1951,1961,Rajasthan
Jhunjhunu,Jhunjhunun,1961,1971,Rajasthan
Kota,Baran,1991,2001,Rajasthan
Kotah,Kota,1951,1961,Rajasthan
Kotah,Kota,1951,1961,Rajasthan
Sawai Madhopur,Karauli,1991,2001,Rajasthan
Swai Madhopur,Sawai Madhopur,1951,1961,Rajasthan
Swai Madhopur,Sawai Madhopur,1951,1961,Rajasthan
Udaipur,Rajsamand,1991,2001,Rajasthan
Amritsar,Tarn Taran,2001,2011,Punjab
Barnala,Sangrur,1951,1961,Punjab
Bathinda,Mansa,1991,2001,Punjab
Bhatinda,Faridkot,1971,1981,Punjab
Bhatinda,Faridkot,1971,1981,Punjab
Bhatinda,Faridkot,1971,1981,Punjab
Bhatinda,Bathinda,1971,1981,Punjab
Bhatinda,Bathinda,1971,1981,Punjab
Faridkot,Moga,1991,2001,Punjab
Faridkot,Muktsar,1991,2001,Punjab
Fatehgarh Sahib,Patiala,1951,1961,Punjab
Ferozepur,Firozpur,1961,1971,Punjab
Ferozepur,Firozpur,1961,1971,Punjab
Ferozepur,Firozpur,1961,1971,Punjab
Firozpur,Faridkot,1971,1981,Punjab
Firozpur,Fazilka,2011,2024,Punjab
Gurdaspur,Pathankot,2011,2024,Punjab
Hoshiarpur,Ropar,1961,1971,Punjab
Hoshiarpur,Ropar,1961,1971,Punjab
Hoshiarpur,Nawanshahr,1991,2001,Punjab
Jalandhar,Nawanshahr,1991,2001,Punjab
Jullundur,Jalandhar,1971,1981,Punjab
Jullundur,Jalandhar,1971,1981,Punjab
Muktsar,Sri Muktsar Sahib,2011,2024,Punjab
Nawanshahr,Shahid Bhagat Singh Nagar,2001,2011,Punjab
Nawanshahr,Shahid Bhagat Singh Nagar,2001,2011,Punjab
Patiala,Fatehgarh Sahib,1991,2001,Punjab
Patiala,Sahibzada Ajit Singh Nagar,2001,2011,Punjab
Ropar,Rupnagar,1971,1981,Punjab
Ropar,Rupnagar,1971,1981,Punjab
Rupnagar,Sahibzada Ajit Singh Nagar,2001,2011,Punjab
Sangrur,Barnala,2001,2011,Punjab
Sangrur,Malerkotla,2011,2024,Punjab
Pondicherry,Puducherry,2001,2011,Puducherry
Balangir,Sonapur,1991,2001,Odisha
Balasore,Baleshwar,1971,1981,Odisha
Balasore,Baleshwar,1971,1981,Odisha
Baleshwar,Bhadrak,1991,2001,Odisha
Baudh Khondmals,Phulabani,1971,1981,Odisha
Baudh Khondmals,Phulabani,1971,1981,Odisha
Bolangir,Balangir,1971,1981,Odisha
Bolangir,Balangir,1971,1981,Odisha
Cuttack,Kendrapara,1991,2001,Odisha
Cuttack,Jagatsinghapur,1991,2001,Odisha
Cuttack,Jajapur,1991,2001,Odisha
Dhenkanal,Anugul,1991,2001,Odisha
Ganjam,Gajapati,1991,2001,Odisha
Kalahandi,Nuapada,1991,2001,Odisha
Keonjhar,Kendujhar,1971,1981,Odisha
Koraput,Rayagada,1991,2001,Odisha
Koraput,Nabarangapur,1991,2001,Odisha
Koraput,Malkangiri,1991,2001,Odisha
Phulabani,Kandhamal,1991,2001,Odisha
Phulabani,Baudh,1991,2001,Odisha
Phulbani,Baudh Khondmals,1951,1961,Odisha
Phulbani,Baudh Khondmals,1951,1961,Odisha
Puri,Nayagarh,1991,2001,Odisha
Puri,Khordha,1991,2001,Odisha
Sambalpur,Bargarh,1991,2001,Odisha
Sambalpur,Jharsuguda,1991,2001,Odisha
Sambalpur,Debagarh,1991,2001,Odisha
Sonapur,Subarnapur,2001,2011,Odisha
Delhi,North West,1991,2001,NCT of Delhi
Delhi,North,1991,2001,NCT of Delhi
Delhi,North East,1991,2001,NCT of Delhi
Delhi,East,1991,2001,NCT of Delhi
Delhi,New Delhi,1991,2001,NCT of Delhi
Delhi,Central,1991,2001,NCT of Delhi
Delhi,West,1991,2001,NCT of Delhi
Delhi,South West,1991,2001,NCT of Delhi
Delhi,South,1991,2001,NCT of Delhi
Dimapur,Chumoukedima,2011,2024,Nagaland
Dimapur,Niuland,2011,2024,Nagaland
Kohima,Phek,1971,1981,Nagaland
Kohima,Dimapur,1991,2001,Nagaland
Kohima,Dimapur,1991,2001,Nagaland
Kohima,Dimapur,1991,2001,Nagaland
Kohima,Peren,2001,2011,Nagaland
Kohima,Tseminyü,2011,2024,Nagaland
Mokokchung,Wokha,1971,1981,Nagaland
Mokokchung,Zunheboto,1971,1981,Nagaland
Naga Hills,Kohima,1951,1961,Nagaland
Naga Hills,Kohima,1951,1961,Nagaland
Naga Hills,Kohima,1951,1961,Nagaland
Naga Hills,Kohima,1951,1961,Nagaland
Naga Hills,Kohima,1951,1961,Nagaland
Naga Hills,Kohima,1951,1961,Nagaland
Naga Hills,Kohima,1951,1961,Nagaland
Tuensang,Mokokchung,1951,1961,Nagaland
Tuensang,Mokokchung,1951,1961,Nagaland
Tuensang,Mokokchung,1951,1961,Nagaland
Tuensang,Mon,1971,1981,Nagaland
Tuensang,Longleng,2001,2011,Nagaland
Tuensang,Kiphire,2001,2011,Nagaland
Tuensang,Noklak,2011,2024,Nagaland
Aizawl,Mamit,1991,2001,Mizoram
Aizawl,Kolasib,1991,2001,Mizoram
Aizawl,Champhai,1991,2001,Mizoram
Aizawl,Serchhip,1991,2001,Mizoram
Aizawl,Champhai,1991,2001,Mizoram
Aizawl,Saitual,2011,2024,Mizoram
Champhai,Khawzawl,2011,2024,Mizoram
Chhimtuipui,Lawngtlai,1991,2001,Mizoram
Chhimtuipui,Saiha,1991,2001,Mizoram
Lunglei,Hnathial,2011,2024,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Lushai Hills,Mizo Hills,1951,1961,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizo Hills,Mizoram,1961,1971,Mizoram
Mizoram,Aizawl,1971,1981,Mizoram
Mizoram,Aizawl,1971,1981,Mizoram
Mizoram,Aizawl,1971,1981,Mizoram
Mizoram,Aizawl,1971,1981,Mizoram
Mizoram,Aizawl,1971,1981,Mizoram
Mizoram,Lunglei,1971,1981,Mizoram
Mizoram,Chhimtuipui,1971,1981,Mizoram
Mizoram,Chhimtuipui,1971,1981,Mizoram
Mizoram,Aizawl,1971,1981,Mizoram
Mizoram,Lunglei,1971,1981,Mizoram
Mizoram,Aizawl,1971,1981,Mizoram
East Garo Hills,North Garo Hills,2011,2024,Meghalaya
East Khasi Hills,Ri Bhoi,1991,2001,Meghalaya
Garo Hills,West Garo Hills,1971,1981,Meghalaya
Garo Hills,East Garo Hills,1971,1981,Meghalaya
Garo Hills,West Garo Hills,1971,1981,Meghalaya
Garo Hills,East Garo Hills,1971,1981,Meghalaya
Jaintia Hills,West Jaintia Hills,2011,2024,Meghalaya
Jaintia Hills,East Jaintia Hills,2011,2024,Meghalaya
United Khasi and Jaintia Hills,West Khasi Hills,1971,1981,Meghalaya
United Khasi and Jaintia Hills,East Khasi Hills,1971,1981,Meghalaya
United Khasi and Jaintia Hills,East Khasi Hills,1971,1981,Meghalaya
United Khasi and Jaintia Hills,Jaintia Hills,1971,1981,Meghalaya
United Khasi and Jaintia Hills,Jaintia Hills,1971,1981,Meghalaya
United Khasi and Jaintia Hills,Jaintia Hills,1971,1981,Meghalaya
United Khasi and Jaintia Hills,West Khasi Hills,1971,1981,Meghalaya
United Khasi and Jaintia Hills,West Khasi Hills,1971,1981,Meghalaya
West Garo Hills,South Garo Hills,1991,2001,Meghalaya
West Khasi Hills,South West Khasi Hills,2011,2024,Meghalaya
West Khasi Hills,Eastern West Khasi Hills,2011,2024,Meghalaya
Chandel,Tengnoupal,2011,2024,Manipur
Churachandpur,Pherzawl,2011,2024,Manipur
Imphal,Imphal West,1991,2001,Manipur
Imphal,Imphal East,1991,2001,Manipur
Imphal,Imphal East,1991,2001,Manipur
Imphal East,Jiribam,2011,2024,Manipur
Manipur,Manipur North,1961,1971,Manipur
Manipur,Manipur West,1961,1971,Manipur
Manipur,Manipur South,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur East,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur East,1961,1971,Manipur
Manipur,Manipur North,1961,1971,Manipur
Manipur,Manipur West,1961,1971,Manipur
Manipur,Manipur Central,1961,1971,Manipur
Manipur,Manipur South,1961,1971,Manipur
Manipur Central,Tengnoupal,1971,1981,Manipur
Manipur Central,Tengnoupal,1971,1981,Manipur
Manipur Central,Bishnupur,1981,1991,Manipur
Manipur Central,Thoubal,1981,1991,Manipur
Manipur Central,Imphal,1981,1991,Manipur
Manipur Central,Imphal,1981,1991,Manipur
Manipur Central,Imphal,1981,1991,Manipur
Manipur Central,Thoubal,1981,1991,Manipur
Manipur East,Ukhrul,1981,1991,Manipur
Manipur East,Ukhrul,1981,1991,Manipur
Manipur North,Senapati,1981,1991,Manipur
Manipur North,Senapati,1981,1991,Manipur
Manipur South,Churachandpur,1981,1991,Manipur
Manipur South,Churachandpur,1981,1991,Manipur
Manipur West,Tamenglong,1981,1991,Manipur
Manipur West,Tamenglong,1981,1991,Manipur
Senapati,Kangpokpi,2011,2024,Manipur
Tamenglong,Noney,2011,2024,Manipur
Tengnoupal,Chandel,1981,1991,Manipur
Tengnoupal,Chandel,1981,1991,Manipur
Thoubal,Kakching,2011,2024,Manipur
Ukhrul,Kamjong,2011,2024,Manipur
Ahmadnagar,Ahmednagar,1961,1971,Maharashtra
Ahmednagar,Ahmadnagar,1951,1961,Maharashtra
Ahmednagar,Ahmadnagar,1971,1981,Maharashtra
Akola,Washim,1991,2001,Maharashtra
Aurangabad,Jalna,1981,1991,Maharashtra
Aurangabad,Sambhaji Nagar,2011,2024,Maharashtra
Bhandara,Gondiya,1991,2001,Maharashtra
Bhir,Bid,1971,1981,Maharashtra
Buldana,Buldhana,1951,1961,Maharashtra
Buldhana,Buldana,1971,1981,Maharashtra
Chanda,Chandrapur,1961,1971,Maharashtra
Chanda,Chandrapur,1961,1971,Maharashtra
Chandrapur,Gadchiroli,1981,1991,Maharashtra
Dhule,Nandurbar,1991,2001,Maharashtra
Dhulia,Dhule,1971,1981,Maharashtra
Dhulia,Dhule,1971,1981,Maharashtra
East Khandesh,Jalgaon,1951,1961,Maharashtra
Greater Bombay,Mumbai,1991,2001,Maharashtra
Greater Bombay,Mumbai (Suburban),1991,2001,Maharashtra
Kolaba,Raigarh,1971,1981,Maharashtra
Mumbai (Suburban),Mumbai Suburban,2001,2011,Maharashtra
Nasik,Nashik,1971,1981,Maharashtra
Osmanabad,Latur,1981,1991,Maharashtra
Osmanabad,Dharashiv,2011,2024,Maharashtra
Parbhani,Hingoli,1991,2001,Maharashtra
Poona,Pune,1971,1981,Maharashtra
Ratnagiri,Sindhudurg,1981,1991,Maharashtra
Satara North,Satara,1951,1961,Maharashtra
Satara South,Sangli,1951,1961,Maharashtra
Sholapur,Solapur,1971,1981,Maharashtra
Thana,Thane,1971,1981,Maharashtra
Thana,Thane,1971,1981,Maharashtra
Thane,Palghar,2011,2024,Maharashtra
West Khandesh,Dhulia,1951,1961,Maharashtra
West Khandesh,Dhulia,1951,1961,Maharashtra
Yeotmal,Yavatmal,1971,1981,Maharashtra
Bhilsa,Vidisha,1951,1961,Madhya Pradesh
Chhindwara,Seoni,1951,1961,Madhya Pradesh
East Nimar,Khandwa,1961,1971,Madhya Pradesh
East Nimar,Khandwa,1961,1971,Madhya Pradesh
East Nimar,Khandwa (East Nimar),2001,2011,Madhya Pradesh
East Nimar,Burhanpur,2001,2011,Madhya Pradesh
